origin,year,month,day,hour,temp,dewp,humid,wind_dir,wind_speed,wind_gust,precip,pressure,visib,time_hour
EWR,2013,2,4,5,23,8.96,54.34,270,14.960139999999999,NA,0,1013.2,10,2013-02-04T10:00:00Z
EWR,2013,2,4,6,23,8.96,54.34,260,11.5078,NA,0,1013.9,10,2013-02-04T11:00:00Z
EWR,2013,2,4,7,24.08,8.96,51.93,270,14.960139999999999,NA,0,1014.6,10,2013-02-04T12:00:00Z
EWR,2013,2,4,8,24.98,8.96,50.02,270,17.261699999999998,23.0156,0,1015,10,2013-02-04T13:00:00Z
EWR,2013,2,4,9,28.04,8.96,44.07,290,17.261699999999998,25.317159999999998,0,1015.3,10,2013-02-04T14:00:00Z
EWR,2013,2,5,0,28.04,21.02,74.61,210,6.904679999999999,NA,0,1014.2,10,2013-02-05T05:00:00Z
EWR,2013,2,5,1,28.04,23,81.11,0,0,NA,0,1014,9,2013-02-05T06:00:00Z
EWR,2013,2,5,2,28.04,24.08,84.87,0,0,NA,0,1013.7,9,2013-02-05T07:00:00Z
EWR,2013,2,5,3,28.04,24.08,84.87,0,0,NA,0,1013.6,6,2013-02-05T08:00:00Z
EWR,2013,2,5,4,28.04,24.98,88.12,0,0,NA,0.01,1013,7,2013-02-05T09:00:00Z
EWR,2013,2,5,5,28.94,24.98,84.93,30,3.4523399999999995,NA,0,1013.5,8,2013-02-05T10:00:00Z
EWR,2013,2,5,6,28.4,26.6,92.86,20,6.904679999999999,NA,0,NA,4,2013-02-05T11:00:00Z
EWR,2013,2,5,7,26.96,23,84.8,10,9.20624,NA,0,1014.3,6,2013-02-05T12:00:00Z
EWR,2013,2,5,8,28.04,24.08,84.87,20,9.20624,NA,0,1014.6,6,2013-02-05T13:00:00Z
EWR,2013,2,5,9,28.94,24.8,86.18,20,9.20624,NA,0,NA,6,2013-02-05T14:00:00Z
EWR,2013,2,6,0,32,30.02,92.29,340,4.60312,NA,0,1013.3,3,2013-02-06T05:00:00Z
EWR,2013,2,6,1,32,30.92,95.73,0,0,NA,0,1013.4,2,2013-02-06T06:00:00Z
EWR,2013,2,6,2,32,30.2,96.41,0,0,NA,0,NA,3,2013-02-06T07:00:00Z
EWR,2013,2,6,3,30.2,28.4,92.92,280,4.60312,NA,0,NA,3,2013-02-06T08:00:00Z
EWR,2013,2,6,4,30.02,28.04,92.23,260,6.904679999999999,NA,0,1014.5,3,2013-02-06T09:00:00Z
EWR,2013,2,6,5,30.2,26.6,88.82,280,6.904679999999999,NA,0,NA,5,2013-02-06T10:00:00Z
EWR,2013,2,6,6,30.92,26.96,85.05,260,5.7539,NA,0,1016.5,5,2013-02-06T11:00:00Z
EWR,2013,2,6,7,30.92,26.96,85.05,260,6.904679999999999,NA,0,1017.9,4,2013-02-06T12:00:00Z
EWR,2013,2,6,8,33.08,26.06,75.11,270,10.357019999999999,NA,0,1018.5,6,2013-02-06T13:00:00Z
EWR,2013,2,6,9,35.06,24.98,66.36,290,16.11092,NA,0,1019.3,9,2013-02-06T14:00:00Z
EWR,2013,2,7,0,28.94,3.92,33.78,340,10.357019999999999,NA,0,1028.2,10,2013-02-07T05:00:00Z
EWR,2013,2,7,1,26.06,3.92,38.03,10,6.904679999999999,NA,0,1028.8,10,2013-02-07T06:00:00Z
EWR,2013,2,7,2,26.06,5,39.96,350,8.05546,NA,0,1029.4,10,2013-02-07T07:00:00Z
EWR,2013,2,7,3,26.06,5,39.96,340,6.904679999999999,NA,0,1029.5,10,2013-02-07T08:00:00Z
EWR,2013,2,7,4,24.98,6.08,43.91,340,5.7539,NA,0,1030.6,10,2013-02-07T09:00:00Z
EWR,2013,2,7,5,26.06,6.08,41.98,360,6.904679999999999,NA,0,1030.7,10,2013-02-07T10:00:00Z
EWR,2013,2,7,6,26.06,6.98,43.74,10,4.60312,NA,0,1031.4,10,2013-02-07T11:00:00Z
EWR,2013,2,7,7,26.06,6.98,43.74,10,4.60312,NA,0,1032.6,10,2013-02-07T12:00:00Z
EWR,2013,2,7,8,28.04,6.98,40.31,360,6.904679999999999,NA,0,1032.8,10,2013-02-07T13:00:00Z
EWR,2013,2,7,9,28.04,8.06,42.32,20,6.904679999999999,NA,0,1032.8,10,2013-02-07T14:00:00Z
EWR,2013,2,8,0,35.06,24.98,66.36,60,6.904679999999999,NA,0,1026.1,10,2013-02-08T05:00:00Z
EWR,2013,2,8,1,35.06,26.06,69.4,60,9.20624,17.261699999999998,0,1025.2,10,2013-02-08T06:00:00Z
EWR,2013,2,8,2,35.06,26.06,69.4,60,10.357019999999999,NA,0,1024.2,10,2013-02-08T07:00:00Z
EWR,2013,2,8,3,35.06,26.96,72.03,50,10.357019999999999,21.864819999999998,0,1022.9,10,2013-02-08T08:00:00Z
EWR,2013,2,8,4,33.98,26.06,72.45,30,9.20624,NA,0,1022.3,10,2013-02-08T09:00:00Z
EWR,2013,2,8,5,33.98,26.06,72.45,30,10.357019999999999,NA,0,1021.5,10,2013-02-08T10:00:00Z
EWR,2013,2,8,6,33.08,28.94,84.56,30,13.809359999999998,NA,0,1020.2,3,2013-02-08T11:00:00Z
EWR,2013,2,8,7,33.8,30.92,91.66,40,12.658579999999999,NA,0.01,NA,3,2013-02-08T12:00:00Z
EWR,2013,2,8,8,33.98,32,92.36,30,11.5078,NA,0.02,1018.5,1,2013-02-08T13:00:00Z
EWR,2013,2,8,9,35.06,33.08,92.4,40,11.5078,NA,0.03,1016.9,1,2013-02-08T14:00:00Z
EWR,2013,2,9,0,28.04,26.06,92.16,360,11.5078,NA,0.13,1008.2,0.5,2013-02-09T05:00:00Z
EWR,2013,2,9,1,28.04,26.96,95.65,350,11.5078,NA,0.09,1008.4,0.5,2013-02-09T06:00:00Z
EWR,2013,2,9,2,28.94,28.94,100,350,18.41248,NA,0.2,NA,1,2013-02-09T07:00:00Z
EWR,2013,2,9,3,30.02,28.4,100,330,13.809359999999998,NA,0.13,NA,10,2013-02-09T08:00:00Z
EWR,2013,2,9,4,30.2,26.96,88.22,320,13.809359999999998,NA,0,NA,9,2013-02-09T09:00:00Z
EWR,2013,2,9,5,30.2,24.8,80.07,310,16.11092,24.166379999999997,0,NA,10,2013-02-09T10:00:00Z
EWR,2013,2,9,6,30.02,23,74.81,280,10.357019999999999,NA,0,1011.9,10,2013-02-09T11:00:00Z
EWR,2013,2,9,7,28.4,21.2,74.08,300,23.0156,NA,0,NA,10,2013-02-09T12:00:00Z
EWR,2013,2,9,8,26.96,17.96,68.44,310,18.41248,27.618719999999996,0,1014.1,10,2013-02-09T13:00:00Z
EWR,2013,2,9,9,26.96,17.06,65.84,310,13.809359999999998,28.769499999999997,0,1015.2,10,2013-02-09T14:00:00Z
EWR,2013,2,10,0,19.94,6.98,56.56,310,11.5078,NA,0,1028.2,10,2013-02-10T05:00:00Z
EWR,2013,2,11,0,30.92,21.92,68.92,0,0,NA,0,1026.5,10,2013-02-11T05:00:00Z
EWR,2013,2,12,0,39.92,39.02,96.55,240,6.904679999999999,NA,0,1006.9,10,2013-02-12T05:00:00Z
EWR,2013,2,13,0,32,23,69.04,240,5.7539,NA,0,1013.9,10,2013-02-13T05:00:00Z
EWR,2013,2,14,0,34.16,30.2,85.26,10,11.5078,NA,0,1006.5,5,2013-02-14T05:00:00Z
EWR,2013,2,15,0,35.96,28.94,75.39,200,4.60312,NA,0,1016.1,9,2013-02-15T05:00:00Z
EWR,2013,2,16,0,39.02,33.98,81.95,320,13.809359999999998,NA,0,1015,10,2013-02-16T05:00:00Z
EWR,2013,2,17,0,30.02,10.04,42.66,330,19.56326,27.618719999999996,0,1006.7,10,2013-02-17T05:00:00Z
EWR,2013,2,18,0,19.04,-0.94,40.76,300,23.0156,31.07106,0,1017.3,10,2013-02-18T05:00:00Z
EWR,2013,2,19,0,30.92,14,49.01,180,6.904679999999999,NA,0,1022.5,10,2013-02-19T05:00:00Z
EWR,2013,2,20,0,35.96,21.92,56.32,270,20.714039999999997,29.920279999999998,0,1006.8,10,2013-02-20T05:00:00Z
EWR,2013,2,21,1,24.08,10.04,54.51,280,10.357019999999999,NA,0,1015.7,10,2013-02-21T06:00:00Z
EWR,2013,2,22,0,24.98,12.92,59.65,340,16.11092,NA,0,1025.6,10,2013-02-22T05:00:00Z
EWR,2013,2,23,0,39.02,33.08,79.05,130,4.60312,NA,0,1025,10,2013-02-23T05:00:00Z
EWR,2013,2,24,0,37.04,35.96,95.82,360,11.5078,NA,0,1009.2,3,2013-02-24T05:00:00Z
EWR,2013,2,25,0,33.08,21.02,60.81,300,9.20624,NA,0,1015.9,10,2013-02-25T05:00:00Z
EWR,2013,2,26,0,37.04,26.96,66.6,0,0,NA,0,1023.2,10,2013-02-26T05:00:00Z
EWR,2013,2,27,0,37.94,35.96,92.49,50,17.261699999999998,24.166379999999997,0.18,1011.8,5,2013-02-27T05:00:00Z
EWR,2013,2,28,0,42.98,37.04,79.38,220,6.904679999999999,NA,0,1003.1,10,2013-02-28T05:00:00Z
EWR,2013,3,1,0,37.04,30.02,75.5,250,4.60312,NA,0,1002.7,10,2013-03-01T05:00:00Z
EWR,2013,3,1,1,35.96,30.02,78.79,330,3.4523399999999995,NA,0,1002.8,10,2013-03-01T06:00:00Z
EWR,2013,3,1,2,35.96,30.02,78.79,290,5.7539,NA,0,1002.9,10,2013-03-01T07:00:00Z
EWR,2013,3,1,3,35.06,28.94,78.13,290,8.05546,NA,0,1003.5,10,2013-03-01T08:00:00Z
EWR,2013,3,1,4,35.96,28.94,75.39,0,0,NA,0,1003.8,10,2013-03-01T09:00:00Z
EWR,2013,3,1,5,35.06,28.94,78.13,220,4.60312,NA,0,1004.4,10,2013-03-01T10:00:00Z
EWR,2013,3,1,6,35.96,28.94,75.39,260,3.4523399999999995,NA,0,1004.5,10,2013-03-01T11:00:00Z
EWR,2013,3,1,7,39.92,28.94,64.54,300,6.904679999999999,NA,0,1005.2,10,2013-03-01T12:00:00Z
EWR,2013,3,1,8,42.08,28.94,59.36,310,8.05546,NA,0,1005.6,10,2013-03-01T13:00:00Z
EWR,2013,3,1,9,42.08,28.04,57.22,310,10.357019999999999,NA,0,1005.7,10,2013-03-01T14:00:00Z
EWR,2013,3,2,0,35.96,24.08,61.67,320,11.5078,19.56326,0,1008.3,10,2013-03-02T05:00:00Z
